bench_id,employee_id,bench_start_date,bench_end_date,bench_reason
BENCH6047,EMP1037,2025-10-11,2025-11-21,Between Projects
BENCH6048,EMP1038,2024-12-20,2025-02-14,Project Ended Early
BENCH6049,EMP1038,2023-11-02,2024-01-15,Internal Training
BENCH6050,EMP1039,2025-03-05,2025-05-13,Awaiting Onboarding
BENCH6051,EMP1039,2026-04-02,2026-06-16,Between Projects
BENCH6052,EMP1039,2025-03-11,2025-05-04,Project Ended Early
BENCH6053,EMP1040,2024-11-08,2024-11-17,Client Budget Cut
BENCH6054,EMP1041,2023-07-12,2023-09-26,Internal Training
BENCH6055,EMP1041,2025-08-12,2025-10-05,Visa/Compliance Hold
BENCH6056,EMP1043,2020-01-05,2020-02-25,Project Ended Early
BENCH6057,EMP1045,2017-01-15,2017-01-30,Between Projects
BENCH6058,EMP1046,2021-09-16,2021-09-25,Skill Realignment
BENCH6059,EMP1047,2026-07-06,2026-07-28,Between Projects
BENCH6060,EMP1047,2024-08-14,2024-09-25,Visa/Compliance Hold
BENCH6061,EMP1050,2026-01-30,2026-04-14,Performance Improvement Plan
BENCH6062,EMP1051,2023-03-15,2023-06-08,Visa/Compliance Hold
BENCH6063,EMP1053,2024-12-23,2025-01-02,Client Budget Cut
BENCH6064,EMP1054,2025-09-30,2025-11-17,Client Budget Cut
BENCH6065,EMP1055,2019-12-02,2020-01-14,Awaiting Onboarding
BENCH6066,EMP1056,2026-04-08,2026-05-24,Project Ended Early
BENCH6067,EMP1057,2024-03-08,2024-03-16,Internal Training
BENCH6068,EMP1057,2024-06-19,2024-07-25,Internal Training
BENCH6069,EMP1059,2022-05-15,2022-07-14,Skill Realignment
BENCH6070,EMP1059,2017-09-30,2017-11-01,Between Projects
BENCH6071,EMP1059,2020-08-23,2020-11-16,Internal Training
BENCH6072,EMP1060,2024-12-31,2025-01-18,Visa/Compliance Hold
BENCH6073,EMP1060,2025-05-28,2025-08-14,Relocation
BENCH6074,EMP1066,2025-05-08,2025-05-26,Between Projects
BENCH6075,EMP1067,2017-10-20,2017-12-01,Relocation
BENCH6076,EMP1067,2017-09-15,2017-11-10,Client Budget Cut
BENCH6077,EMP1067,2018-01-12,2018-01-23,Project Ended Early
BENCH6078,EMP1070,2026-06-05,2026-07-31,Internal Training
BENCH6079,EMP1070,2026-07-08,2026-08-09,Internal Training
BENCH6080,EMP1072,2025-10-01,2025-12-12,Project Ended Early
BENCH6081,EMP1074,2025-04-16,2025-05-27,Client Budget Cut
BENCH6082,EMP1075,2018-09-23,2018-10-31,Visa/Compliance Hold
BENCH6083,EMP1075,2020-03-30,2020-04-26,Between Projects
BENCH6084,EMP1075,2025-02-26,2025-03-15,Awaiting Onboarding
BENCH6085,EMP1077,2026-07-01,2026-08-08,Project Ended Early
BENCH6086,EMP1078,2017-09-20,2017-10-18,Internal Training
BENCH6087,EMP1079,2019-04-21,2019-05-08,Awaiting Onboarding
BENCH6088,EMP1079,2024-08-15,2024-09-05,Internal Training
BENCH6089,EMP1081,2024-07-25,2024-09-01,Awaiting Onboarding
BENCH6090,EMP1082,2017-01-28,2017-02-24,Awaiting Onboarding
BENCH6091,EMP1083,2019-06-08,2019-08-23,Skill Realignment
BENCH6092,EMP1083,2019-07-18,2019-09-24,Skill Realignment
BENCH6093,EMP1084,2022-03-20,2022-05-19,Relocation
BENCH6094,EMP1085,2024-05-27,2024-07-22,Client Budget Cut
BENCH6095,EMP1085,2024-04-06,2024-04-25,Between Projects
BENCH6096,EMP1086,2025-02-17,2025-04-25,Relocation
BENCH6097,EMP1091,2017-08-11,2017-09-01,Visa/Compliance Hold
BENCH6098,EMP1092,2025-01-22,2025-03-12,Skill Realignment
BENCH6099,EMP1094,2026-01-07,2026-03-30,Performance Improvement Plan
BENCH6100,EMP1094,2021-08-16,2021-11-07,Visa/Compliance Hold
BENCH6101,EMP1095,2020-04-21,2020-07-15,Performance Improvement Plan
BENCH6102,EMP1095,2020-08-13,2020-10-10,Project Ended Early
BENCH6103,EMP1095,2022-11-02,2022-11-21,Between Projects
BENCH6104,EMP1097,2022-12-08,2023-01-27,Performance Improvement Plan
BENCH6105,EMP1098,2023-12-20,2024-02-24,Client Budget Cut
BENCH6106,EMP1098,2020-07-08,2020-09-03,Between Projects
BENCH6107,EMP1099,2023-01-08,2023-02-09,Internal Training
BENCH6108,EMP1099,2022-05-11,2022-08-03,Project Ended Early
BENCH6109,EMP1099,2021-07-05,2021-08-22,Performance Improvement Plan
BENCH6110,EMP1102,2026-07-11,2026-08-31,Client Budget Cut
BENCH6111,EMP1102,2025-09-05,2025-11-19,Relocation
BENCH6112,EMP1103,2024-10-25,2024-11-15,Skill Realignment
BENCH6113,EMP1103,2025-03-30,2025-06-06,Visa/Compliance Hold
BENCH6114,EMP1105,2024-05-20,2024-06-02,Between Projects
BENCH6115,EMP1110,2021-03-23,2021-05-12,Client Budget Cut
BENCH6116,EMP1111,2024-05-22,2024-08-10,Skill Realignment
BENCH6117,EMP1112,2026-04-11,2026-06-08,Between Projects
BENCH6118,EMP1112,2023-09-09,2023-11-13,Project Ended Early
BENCH6119,EMP1113,2025-11-13,2026-02-09,Visa/Compliance Hold
BENCH6120,EMP1113,2024-08-09,2024-10-17,Performance Improvement Plan
BENCH6121,EMP1113,2024-04-20,2024-07-04,Awaiting Onboarding
BENCH6122,EMP1114,2026-07-25,2026-08-25,Skill Realignment
BENCH6123,EMP1116,2026-04-24,2026-06-19,Project Ended Early
BENCH6124,EMP1116,2019-06-28,2019-07-11,Awaiting Onboarding
BENCH6125,EMP1116,2019-09-18,2019-09-29,Visa/Compliance Hold
BENCH6126,EMP1117,2022-02-07,2022-02-23,Visa/Compliance Hold
BENCH6127,EMP1117,2021-05-08,2021-06-17,Between Projects
BENCH6128,EMP1119,2019-08-02,2019-10-07,Relocation
BENCH6129,EMP1119,2022-01-27,2022-03-05,Client Budget Cut
BENCH6130,EMP1120,2018-10-24,2018-11-04,Performance Improvement Plan
BENCH6131,EMP1121,2026-03-17,2026-05-29,Performance Improvement Plan
BENCH6132,EMP1121,2024-04-06,2024-05-08,Client Budget Cut
BENCH6133,EMP1125,2021-12-06,2022-02-26,Relocation
BENCH6134,EMP1127,2024-05-02,2024-07-26,Project Ended Early
BENCH6135,EMP1128,2023-09-02,2023-09-30,Visa/Compliance Hold
BENCH6136,EMP1128,2018-05-14,2018-07-21,Skill Realignment
BENCH6137,EMP1128,2017-03-18,2017-06-14,Awaiting Onboarding
BENCH6138,EMP1129,2025-04-28,2025-07-25,Skill Realignment
BENCH6139,EMP1130,2026-04-03,2026-05-13,Client Budget Cut
BENCH6140,EMP1132,2020-09-15,2020-12-11,Project Ended Early
BENCH6141,EMP1135,2025-07-04,2025-08-18,Performance Improvement Plan
BENCH6142,EMP1135,2024-05-28,2024-06-17,Performance Improvement Plan
BENCH6143,EMP1135,2025-09-16,2025-10-21,Visa/Compliance Hold
BENCH6144,EMP1142,2023-06-18,2023-06-27,Client Budget Cut
BENCH6145,EMP1142,2024-02-04,2024-03-24,Visa/Compliance Hold
BENCH6146,EMP1143,2019-12-15,2020-02-02,Awaiting Onboarding
BENCH6147,EMP1143,2021-10-24,2021-11-30,Skill Realignment
BENCH6148,EMP1149,2022-03-30,2022-05-17,Skill Realignment
BENCH6149,EMP1149,2023-05-06,2023-07-25,Project Ended Early
BENCH6150,EMP1149,2023-09-18,2023-11-30,Awaiting Onboarding
BENCH6151,EMP1150,2022-03-24,2022-05-05,Between Projects
BENCH6152,EMP1150,2020-08-12,2020-08-24,Internal Training
BENCH6153,EMP1151,2025-12-17,2026-03-15,Performance Improvement Plan
BENCH6154,EMP1151,2026-03-19,2026-03-26,Visa/Compliance Hold
BENCH6155,EMP1151,2024-12-14,2025-03-02,Performance Improvement Plan
BENCH6156,EMP1153,2025-02-04,2025-03-20,Awaiting Onboarding
BENCH6157,EMP1153,2024-12-14,2025-01-06,Awaiting Onboarding
BENCH6158,EMP1153,2020-09-04,2020-10-05,Skill Realignment
BENCH6159,EMP1155,2021-02-09,2021-04-14,Awaiting Onboarding
BENCH6160,EMP1155,2019-12-05,2020-02-23,Awaiting Onboarding
BENCH6161,EMP1155,2020-01-10,2020-02-15,Project Ended Early
BENCH6162,EMP1157,2023-03-09,2023-04-09,Visa/Compliance Hold
BENCH6163,EMP1158,2018-10-01,2018-10-21,Skill Realignment
BENCH6164,EMP1158,2023-08-14,2023-09-22,Awaiting Onboarding
BENCH6165,EMP1159,2019-06-15,2019-08-11,Skill Realignment
BENCH6166,EMP1163,2024-12-08,2024-12-19,Performance Improvement Plan
BENCH6167,EMP1164,2022-11-24,2023-02-13,Skill Realignment
BENCH6168,EMP1164,2021-05-09,2021-07-26,Project Ended Early
BENCH6169,EMP1168,2019-11-09,2019-12-10,Performance Improvement Plan
BENCH6170,EMP1168,2016-08-17,2016-10-01,Performance Improvement Plan
BENCH6171,EMP1168,2018-08-24,2018-09-01,Skill Realignment
BENCH6172,EMP1169,2019-06-05,2019-06-24,Visa/Compliance Hold
BENCH6173,EMP1170,2020-05-16,2020-08-04,Between Projects
BENCH6174,EMP1170,2023-09-23,2023-11-27,Visa/Compliance Hold
BENCH6175,EMP1171,2017-11-17,2017-12-13,Project Ended Early
BENCH6176,EMP1173,2017-05-01,2017-06-07,Internal Training
BENCH6177,EMP1174,2020-10-08,2020-11-14,Internal Training
BENCH6178,EMP1174,2019-05-17,2019-08-11,Project Ended Early
BENCH6179,EMP1175,2026-07-04,2026-08-31,Client Budget Cut
BENCH6180,EMP1175,2024-09-08,2024-10-22,Performance Improvement Plan
BENCH6181,EMP1176,2023-12-21,2024-02-15,Skill Realignment
BENCH6182,EMP1177,2026-07-28,2026-08-31,Between Projects
BENCH6183,EMP1177,2021-01-19,2021-02-05,Skill Realignment
BENCH6184,EMP1178,2024-11-10,2024-12-09,Relocation
BENCH6185,EMP1178,2022-04-03,2022-05-18,Project Ended Early
BENCH6186,EMP1179,2024-12-13,2025-01-16,Relocation
BENCH6187,EMP1179,2024-03-26,2024-06-17,Project Ended Early
BENCH6188,EMP1182,2025-04-26,2025-06-13,Project Ended Early
BENCH6189,EMP1185,2025-01-02,2025-02-06,Relocation
BENCH6190,EMP1185,2026-04-06,2026-05-31,Relocation
BENCH6191,EMP1185,2025-10-11,2025-10-25,Client Budget Cut
BENCH6192,EMP1188,2024-07-15,2024-09-24,Visa/Compliance Hold
BENCH6193,EMP1190,2017-08-25,2017-10-27,Relocation
BENCH6194,EMP1191,2019-12-12,2020-02-11,Skill Realignment
BENCH6195,EMP1191,2018-12-01,2018-12-23,Between Projects
BENCH6196,EMP1192,2026-02-24,2026-03-14,Client Budget Cut
BENCH6197,EMP1192,2026-01-16,2026-02-15,Skill Realignment
BENCH6198,EMP1194,2025-12-15,2026-01-02,Internal Training
BENCH6199,EMP1196,2018-09-22,2018-12-08,Client Budget Cut
BENCH6200,EMP1198,2025-11-21,2026-01-03,Relocation
