budget_id,customer_id,project_id,budget_month,budget_amount,actual_amount,budget_hours,actual_hours
BUD7053,CUST1015,PRJ2004,2024-05-01,41214.0,39027.54,809.7,896.7
BUD7054,CUST1024,PRJ2005,2025-07-01,16300.49,11990.98,447.3,456.2
BUD7055,CUST1024,PRJ2005,2025-08-01,18690.98,15215.8,426.3,533.9
BUD7056,CUST1024,PRJ2005,2025-09-01,18940.08,19824.22,395.5,457.9
BUD7057,CUST1024,PRJ2005,2025-10-01,18983.76,22839.62,501.8,556.2
BUD7058,CUST1024,PRJ2005,2025-11-01,16343.34,16447.97,435.9,349.4
BUD7059,CUST1024,PRJ2005,2025-12-01,19050.89,21936.86,471.7,545.2
BUD7060,CUST1024,PRJ2005,2026-01-01,20465.83,21840.98,422.1,422.3
BUD7061,CUST1024,PRJ2005,2026-02-01,20528.27,16537.56,398.1,449.9
BUD7062,CUST1024,PRJ2005,2026-03-01,20331.5,23604.21,412.6,481.0
BUD7063,CUST1024,PRJ2005,2026-04-01,19889.38,14605.31,443.9,372.1
BUD7064,CUST1024,PRJ2005,2026-05-01,20569.19,16431.23,507.2,366.2
BUD7065,CUST1024,PRJ2005,2026-06-01,18189.67,15094.02,508.4,640.8
BUD7066,CUST1024,PRJ2005,2026-07-01,20674.88,26764.36,494.9,547.1
BUD7067,CUST1029,PRJ2006,2026-06-01,26992.22,24617.71,724.3,824.9
BUD7068,CUST1029,PRJ2006,2026-07-01,23924.73,19933.99,632.7,507.7
BUD7069,CUST1029,PRJ2006,2026-08-01,29936.16,22654.8,768.0,757.3
BUD7070,CUST1003,PRJ2007,2023-05-01,13881.9,16680.87,553.0,666.7
BUD7071,CUST1003,PRJ2007,2023-06-01,14488.79,12149.13,508.7,558.6
BUD7072,CUST1011,PRJ2008,2026-05-01,29610.44,36217.35,1004.8,1260.5
BUD7073,CUST1011,PRJ2008,2026-06-01,27796.2,24008.69,1057.1,746.8
BUD7074,CUST1001,PRJ2009,2025-06-01,65690.67,79497.98,502.5,468.9
BUD7075,CUST1001,PRJ2009,2025-07-01,74857.37,53207.71,456.9,471.5
BUD7076,CUST1001,PRJ2009,2025-08-01,63398.75,59897.57,430.6,467.8
BUD7077,CUST1001,PRJ2009,2025-09-01,64394.57,67116.63,431.9,373.3
BUD7078,CUST1001,PRJ2009,2025-10-01,71582.28,63290.81,496.2,614.7
BUD7079,CUST1001,PRJ2009,2025-11-01,80156.47,59257.43,406.4,311.1
BUD7080,CUST1001,PRJ2009,2025-12-01,70121.03,79878.11,443.5,572.6
BUD7081,CUST1001,PRJ2009,2026-01-01,69319.12,57702.7,439.6,548.1
BUD7082,CUST1001,PRJ2009,2026-02-01,76943.39,100012.04,525.2,510.4
BUD7083,CUST1001,PRJ2009,2026-03-01,75515.68,59232.72,448.5,500.4
BUD7084,CUST1001,PRJ2009,2026-04-01,67576.87,70317.04,477.2,403.5
BUD7085,CUST1001,PRJ2009,2026-05-01,60219.83,69651.88,506.2,586.6
BUD7086,CUST1049,PRJ2010,2026-08-01,37649.96,43200.32,577.9,584.7
BUD7087,CUST1049,PRJ2010,2026-09-01,36576.39,28180.68,665.1,549.5
BUD7088,CUST1049,PRJ2010,2026-10-01,36519.04,45680.28,664.9,815.3
BUD7089,CUST1049,PRJ2010,2026-11-01,32971.26,27966.46,568.1,475.1
BUD7090,CUST1049,PRJ2010,2026-12-01,32767.69,38995.72,538.5,545.9
BUD7091,CUST1049,PRJ2010,2027-01-01,41400.61,47821.69,623.8,785.8
BUD7092,CUST1018,PRJ2011,2026-09-01,49185.74,39193.43,498.7,514.4
BUD7093,CUST1018,PRJ2011,2026-10-01,54740.92,39141.38,481.0,365.9
BUD7094,CUST1018,PRJ2011,2026-11-01,48541.66,47565.72,461.5,591.2
BUD7095,CUST1003,PRJ2012,2025-04-01,31021.38,37917.73,555.3,716.0
BUD7096,CUST1003,PRJ2012,2025-05-01,25703.33,30449.85,597.8,425.3
BUD7097,CUST1003,PRJ2012,2025-06-01,30608.91,38934.15,674.8,549.9
BUD7098,CUST1003,PRJ2012,2025-07-01,33956.1,38809.39,635.6,531.8
BUD7099,CUST1003,PRJ2012,2025-08-01,26027.46,33558.73,613.9,523.2
BUD7100,CUST1003,PRJ2012,2025-09-01,34458.0,33860.05,707.1,687.8
BUD7101,CUST1003,PRJ2012,2025-10-01,34106.84,35723.75,529.7,425.5
BUD7102,CUST1003,PRJ2012,2025-11-01,32302.88,34540.0,616.0,574.9
BUD7103,CUST1003,PRJ2012,2025-12-01,33468.46,23935.61,678.0,704.6
BUD7104,CUST1003,PRJ2012,2026-01-01,27539.27,34356.66,697.6,819.6
BUD7105,CUST1003,PRJ2012,2026-02-01,31634.95,26848.47,691.6,605.9
BUD7106,CUST1047,PRJ2013,2024-10-01,69577.21,76411.11,978.7,692.2
BUD7107,CUST1047,PRJ2013,2024-11-01,83955.15,95639.27,950.2,712.9
BUD7108,CUST1047,PRJ2013,2024-12-01,63433.11,73306.82,774.7,559.8
BUD7109,CUST1047,PRJ2013,2025-01-01,69481.59,65728.24,840.7,730.1
BUD7110,CUST1047,PRJ2013,2025-02-01,65250.5,48290.67,891.6,838.7
BUD7111,CUST1047,PRJ2013,2025-03-01,69415.91,52406.94,776.9,884.9
BUD7112,CUST1044,PRJ2014,2023-03-01,20586.47,21953.85,843.7,986.7
BUD7113,CUST1044,PRJ2014,2023-04-01,22078.94,16143.69,664.7,788.8
BUD7114,CUST1044,PRJ2014,2023-05-01,18501.74,16508.46,745.6,592.5
BUD7115,CUST1036,PRJ2015,2025-03-01,44475.25,33839.41,662.6,704.1
BUD7116,CUST1036,PRJ2015,2025-04-01,44951.63,39323.45,704.6,865.2
BUD7117,CUST1036,PRJ2015,2025-05-01,44603.43,34218.53,621.0,654.6
BUD7118,CUST1036,PRJ2015,2025-06-01,39318.56,37226.36,720.5,554.7
BUD7119,CUST1037,PRJ2016,2023-05-01,66773.49,74723.05,1035.4,903.3
BUD7120,CUST1037,PRJ2016,2023-06-01,57088.49,59659.01,1132.8,1399.9
BUD7121,CUST1025,PRJ2017,2024-03-01,42873.51,37078.05,359.5,461.8
BUD7122,CUST1025,PRJ2017,2024-04-01,40414.89,51586.92,397.5,299.7
BUD7123,CUST1000,PRJ2018,2026-12-01,72990.44,70822.54,851.6,787.7
BUD7124,CUST1000,PRJ2018,2027-01-01,55406.56,43438.65,862.2,640.1
BUD7125,CUST1000,PRJ2018,2027-02-01,68833.97,64253.41,1018.2,1213.7
BUD7126,CUST1000,PRJ2018,2027-03-01,71369.71,58741.58,1055.2,965.5
BUD7127,CUST1000,PRJ2018,2027-04-01,58105.54,75108.57,826.8,858.4
BUD7128,CUST1000,PRJ2018,2027-05-01,68115.06,58980.16,971.3,688.9
BUD7129,CUST1000,PRJ2018,2027-06-01,60899.12,44772.3,934.5,797.8
BUD7130,CUST1000,PRJ2018,2027-07-01,72547.87,76826.24,833.9,793.3
BUD7131,CUST1000,PRJ2018,2027-08-01,68956.48,65058.0,986.0,1281.1
BUD7132,CUST1016,PRJ2019,2026-03-01,72533.08,93580.76,746.4,716.9
BUD7133,CUST1016,PRJ2019,2026-04-01,59793.18,65309.9,688.7,665.9
BUD7134,CUST1016,PRJ2019,2026-05-01,57759.3,42153.1,689.1,503.6
BUD7135,CUST1016,PRJ2019,2026-06-01,69293.62,86290.49,637.6,789.6
BUD7136,CUST1016,PRJ2019,2026-07-01,70677.58,59134.26,610.0,609.7
BUD7137,CUST1016,PRJ2019,2026-08-01,66944.95,46910.32,681.1,547.6
BUD7138,CUST1016,PRJ2019,2026-09-01,74036.22,74579.56,670.6,839.4
BUD7139,CUST1016,PRJ2019,2026-10-01,60376.16,65917.2,670.2,571.7
BUD7140,CUST1016,PRJ2019,2026-11-01,64110.61,75597.1,743.7,849.6
BUD7141,CUST1016,PRJ2019,2026-12-01,71483.5,53255.63,588.4,621.6
BUD7142,CUST1016,PRJ2019,2027-01-01,70311.67,66522.77,596.6,617.7
BUD7143,CUST1016,PRJ2019,2027-02-01,62700.62,64420.19,590.1,617.0
BUD7144,CUST1000,PRJ2020,2024-11-01,48816.11,49830.56,394.6,326.6
BUD7145,CUST1000,PRJ2020,2024-12-01,51678.2,50754.06,513.8,442.1
BUD7146,CUST1000,PRJ2020,2025-01-01,54642.71,46955.87,493.8,505.7
BUD7147,CUST1000,PRJ2020,2025-02-01,55732.01,62785.74,412.1,362.0
BUD7148,CUST1031,PRJ2021,2023-02-01,47633.87,41233.07,747.6,970.0
BUD7149,CUST1031,PRJ2021,2023-03-01,36442.92,40440.71,747.5,738.2
BUD7150,CUST1031,PRJ2021,2023-04-01,45241.54,53561.35,734.6,643.2
BUD7151,CUST1031,PRJ2021,2023-05-01,37317.34,31802.77,826.4,767.1
BUD7152,CUST1031,PRJ2021,2023-06-01,46327.74,51361.44,893.6,926.9
BUD7153,CUST1031,PRJ2021,2023-07-01,35575.23,41383.52,773.8,898.8
BUD7154,CUST1031,PRJ2021,2023-08-01,35456.77,39516.74,797.6,839.6
BUD7155,CUST1031,PRJ2021,2023-09-01,40915.53,40549.24,762.3,548.0
BUD7156,CUST1027,PRJ2022,2024-05-01,67168.73,70093.25,394.5,307.3
BUD7157,CUST1027,PRJ2022,2024-06-01,68353.6,52223.58,341.8,240.6
BUD7158,CUST1027,PRJ2022,2024-07-01,64081.51,54778.0,301.5,320.1
BUD7159,CUST1027,PRJ2022,2024-08-01,67101.43,60981.25,346.1,339.8
BUD7160,CUST1027,PRJ2022,2024-09-01,73843.11,79443.51,324.3,409.2
BUD7161,CUST1027,PRJ2022,2024-10-01,76656.63,76836.85,393.1,401.6
BUD7162,CUST1027,PRJ2022,2024-11-01,71409.59,70136.18,340.3,440.8
BUD7163,CUST1027,PRJ2022,2024-12-01,73798.94,85609.36,364.1,274.9
BUD7164,CUST1027,PRJ2022,2025-01-01,63655.55,52306.03,338.0,325.9
BUD7165,CUST1027,PRJ2022,2025-02-01,67836.65,65034.46,352.9,293.3
BUD7166,CUST1027,PRJ2022,2025-03-01,79508.06,69067.95,395.7,402.2
BUD7167,CUST1027,PRJ2022,2025-04-01,70882.83,59453.9,390.5,277.4
BUD7168,CUST1027,PRJ2022,2025-05-01,83068.98,81705.99,372.1,270.2
BUD7169,CUST1027,PRJ2022,2025-06-01,70256.0,73058.19,345.0,283.9
BUD7170,CUST1004,PRJ2023,2023-05-01,33438.31,31630.55,381.6,396.4
BUD7171,CUST1004,PRJ2023,2023-06-01,40332.72,49526.52,377.4,319.0
BUD7172,CUST1004,PRJ2023,2023-07-01,31742.59,39350.72,437.7,554.1
BUD7173,CUST1004,PRJ2023,2023-08-01,36837.17,45846.59,480.1,472.6
BUD7174,CUST1004,PRJ2023,2023-09-01,38678.05,45897.19,451.8,333.4
BUD7175,CUST1004,PRJ2023,2023-10-01,35804.56,25999.26,360.8,350.3
BUD7176,CUST1004,PRJ2023,2023-11-01,32775.09,42369.45,362.7,277.1
BUD7177,CUST1004,PRJ2023,2023-12-01,40357.8,38750.87,417.5,425.6
BUD7178,CUST1004,PRJ2023,2024-01-01,38418.87,48402.82,376.0,472.7
BUD7179,CUST1009,PRJ2024,2026-10-01,67518.15,62946.72,599.0,654.4
BUD7180,CUST1009,PRJ2024,2026-11-01,67905.07,55579.0,767.8,975.1
BUD7181,CUST1009,PRJ2024,2026-12-01,56494.09,67028.24,617.2,437.6
BUD7182,CUST1009,PRJ2024,2027-01-01,75046.48,64635.86,732.0,702.9
BUD7183,CUST1009,PRJ2024,2027-02-01,57487.95,45212.62,689.8,795.6
BUD7184,CUST1009,PRJ2024,2027-03-01,74187.67,70632.37,703.6,834.8
BUD7185,CUST1009,PRJ2024,2027-04-01,73635.55,82587.55,653.5,832.0
BUD7186,CUST1009,PRJ2024,2027-05-01,68451.66,83832.5,614.7,484.5
BUD7187,CUST1009,PRJ2024,2027-06-01,62761.91,58035.97,644.9,759.1
BUD7188,CUST1009,PRJ2024,2027-07-01,58839.41,56097.22,681.7,817.2
BUD7189,CUST1009,PRJ2024,2027-08-01,64089.7,53364.75,673.5,700.6
BUD7190,CUST1009,PRJ2024,2027-09-01,70857.44,80456.91,645.2,540.3
BUD7191,CUST1045,PRJ2025,2025-11-01,24469.27,21316.34,358.5,350.0
BUD7192,CUST1045,PRJ2025,2025-12-01,27903.47,19665.2,393.7,324.5
BUD7193,CUST1045,PRJ2025,2026-01-01,27839.73,21609.71,419.5,436.6
BUD7194,CUST1045,PRJ2025,2026-02-01,23884.49,30852.65,423.4,487.3
BUD7195,CUST1045,PRJ2025,2026-03-01,27129.07,32746.8,405.7,359.2
BUD7196,CUST1001,PRJ2026,2026-08-01,66366.73,65194.38,671.8,471.9
BUD7197,CUST1001,PRJ2026,2026-09-01,79665.7,96297.18,722.7,860.1
BUD7198,CUST1001,PRJ2026,2026-10-01,72572.08,68020.71,875.1,746.0
BUD7199,CUST1001,PRJ2026,2026-11-01,77552.77,92666.98,866.4,794.0
BUD7200,CUST1001,PRJ2026,2026-12-01,66984.93,86047.45,768.2,699.9
BUD7201,CUST1001,PRJ2026,2027-01-01,68914.44,82191.83,877.4,858.6
BUD7202,CUST1001,PRJ2026,2027-02-01,76104.18,80441.05,674.3,684.9
BUD7203,CUST1001,PRJ2026,2027-03-01,67639.71,54310.28,706.8,533.2
BUD7204,CUST1037,PRJ2027,2025-05-01,50520.22,38253.06,669.6,778.8
BUD7205,CUST1037,PRJ2027,2025-06-01,46679.59,35994.18,670.8,851.7
BUD7206,CUST1037,PRJ2027,2025-07-01,50128.86,49060.98,644.2,632.7
BUD7207,CUST1037,PRJ2027,2025-08-01,42294.85,52196.45,547.4,547.2
BUD7208,CUST1037,PRJ2027,2025-09-01,45949.92,56177.37,678.9,802.0
BUD7209,CUST1022,PRJ2028,2026-04-01,41625.94,46321.83,577.9,452.1
BUD7210,CUST1022,PRJ2028,2026-05-01,35349.77,43807.39,574.0,495.2
BUD7211,CUST1022,PRJ2028,2026-06-01,39440.44,41676.5,523.0,412.3
BUD7212,CUST1022,PRJ2028,2026-07-01,38559.3,45058.57,605.5,700.1
BUD7213,CUST1022,PRJ2028,2026-08-01,39101.48,36813.22,684.9,649.4
BUD7214,CUST1022,PRJ2028,2026-09-01,43378.58,34057.22,650.9,597.3
BUD7215,CUST1022,PRJ2028,2026-10-01,43654.59,40822.16,683.5,493.2
BUD7216,CUST1018,PRJ2029,2024-01-01,69692.3,58796.43,641.7,781.8
BUD7217,CUST1018,PRJ2029,2024-02-01,66387.32,54203.8,573.6,609.5
BUD7218,CUST1018,PRJ2029,2024-03-01,63178.63,71530.69,676.9,490.7
BUD7219,CUST1018,PRJ2029,2024-04-01,59986.79,68654.19,537.2,567.7
BUD7220,CUST1018,PRJ2029,2024-05-01,74808.4,72276.7,602.5,616.3
BUD7221,CUST1018,PRJ2029,2024-06-01,74841.22,86843.59,563.8,711.5
BUD7222,CUST1018,PRJ2029,2024-07-01,74802.86,76189.54,561.1,552.1
BUD7223,CUST1018,PRJ2029,2024-08-01,69794.69,52711.59,511.1,553.4
BUD7224,CUST1018,PRJ2029,2024-09-01,67272.69,79021.25,574.5,503.8
BUD7225,CUST1016,PRJ2030,2023-03-01,37859.55,46299.89,425.2,438.7
BUD7226,CUST1016,PRJ2030,2023-04-01,46347.39,46833.0,375.7,486.2
BUD7227,CUST1016,PRJ2030,2023-05-01,37745.05,36957.48,392.2,441.4
BUD7228,CUST1016,PRJ2030,2023-06-01,39425.14,30881.13,347.6,414.9
BUD7229,CUST1016,PRJ2030,2023-07-01,37315.17,34721.92,341.5,418.6
BUD7230,CUST1036,PRJ2031,2024-06-01,55957.78,67703.02,964.2,838.4
BUD7231,CUST1036,PRJ2031,2024-07-01,57301.89,54474.35,919.2,645.9
BUD7232,CUST1003,PRJ2032,2024-08-01,19899.3,24047.55,382.3,469.4
BUD7233,CUST1003,PRJ2032,2024-09-01,18517.56,18842.98,361.3,409.1
BUD7234,CUST1003,PRJ2032,2024-10-01,21677.42,25643.71,354.1,382.8
BUD7235,CUST1003,PRJ2032,2024-11-01,21141.25,25362.87,412.5,320.0
BUD7236,CUST1003,PRJ2032,2024-12-01,21715.2,21171.78,310.6,283.2
BUD7237,CUST1003,PRJ2032,2025-01-01,21266.68,18892.82,383.1,312.6
BUD7238,CUST1003,PRJ2032,2025-02-01,17385.08,20703.23,403.3,360.0
BUD7239,CUST1003,PRJ2032,2025-03-01,18848.78,22707.26,323.1,311.4
BUD7240,CUST1003,PRJ2032,2025-04-01,18133.43,19076.23,340.7,261.9
BUD7241,CUST1009,PRJ2033,2023-07-01,42556.71,46676.34,390.9,428.2
BUD7242,CUST1009,PRJ2033,2023-08-01,53842.77,46022.48,348.6,271.7
BUD7243,CUST1009,PRJ2033,2023-09-01,51523.9,41494.84,345.1,391.0
BUD7244,CUST1009,PRJ2033,2023-10-01,51237.57,48361.94,356.0,434.9
BUD7245,CUST1009,PRJ2033,2023-11-01,48022.22,44875.76,402.3,498.5
BUD7246,CUST1009,PRJ2034,2023-02-01,52885.47,37151.62,923.5,1004.1
BUD7247,CUST1009,PRJ2034,2023-03-01,55505.97,65679.14,955.1,1039.4
BUD7248,CUST1009,PRJ2034,2023-04-01,54832.59,56923.38,1037.5,805.5
BUD7249,CUST1009,PRJ2034,2023-05-01,55533.67,57350.1,1070.4,857.6
BUD7250,CUST1009,PRJ2034,2023-06-01,58532.25,67498.31,1028.4,752.4
BUD7251,CUST1009,PRJ2034,2023-07-01,46899.35,49615.32,959.4,834.0
BUD7252,CUST1009,PRJ2034,2023-08-01,59180.65,68361.19,1086.0,779.6
BUD7253,CUST1009,PRJ2034,2023-09-01,50391.96,45477.4,1102.4,1157.8
BUD7254,CUST1009,PRJ2034,2023-10-01,49614.02,53834.78,1107.3,1317.7
BUD7255,CUST1009,PRJ2034,2023-11-01,46410.61,43840.74,1028.5,1233.4
BUD7256,CUST1009,PRJ2034,2023-12-01,56166.55,63497.42,1143.0,1042.4
BUD7257,CUST1009,PRJ2034,2024-01-01,54374.8,56860.42,1095.4,1140.3
BUD7258,CUST1015,PRJ2035,2026-06-01,48645.99,53882.89,1091.2,877.4
BUD7259,CUST1015,PRJ2035,2026-07-01,63496.98,67080.8,1238.0,1220.8
BUD7260,CUST1015,PRJ2035,2026-08-01,62560.07,65963.75,1074.6,1286.1
BUD7261,CUST1015,PRJ2035,2026-09-01,48233.94,47833.02,1257.2,1055.8
BUD7262,CUST1015,PRJ2035,2026-10-01,51284.15,61959.35,1149.8,1129.8
BUD7263,CUST1015,PRJ2035,2026-11-01,61105.59,62954.94,1170.4,1073.9
BUD7264,CUST1015,PRJ2035,2026-12-01,47860.02,43740.04,1273.5,1014.5
BUD7265,CUST1015,PRJ2035,2027-01-01,52180.35,47030.48,1141.9,879.1
BUD7266,CUST1015,PRJ2035,2027-02-01,47976.36,42231.45,1184.5,1357.6
BUD7267,CUST1015,PRJ2035,2027-03-01,52046.29,41656.3,1186.3,992.5
BUD7268,CUST1049,PRJ2036,2026-03-01,54286.17,49581.57,453.1,540.6
BUD7269,CUST1049,PRJ2036,2026-04-01,62423.02,66915.92,489.4,385.2
BUD7270,CUST1049,PRJ2036,2026-05-01,50001.68,62705.66,449.3,430.8
BUD7271,CUST1049,PRJ2036,2026-06-01,58972.69,71173.33,452.2,546.1
BUD7272,CUST1039,PRJ2037,2026-07-01,72072.67,73189.25,290.7,319.9
BUD7273,CUST1039,PRJ2037,2026-08-01,77888.81,70050.58,297.9,256.0
BUD7274,CUST1039,PRJ2037,2026-09-01,62326.72,52649.73,289.0,328.5
BUD7275,CUST1039,PRJ2037,2026-10-01,64395.57,60627.61,355.9,461.1
BUD7276,CUST1022,PRJ2038,2026-06-01,26240.04,20865.32,637.4,779.4
BUD7277,CUST1022,PRJ2038,2026-07-01,28855.38,30358.18,694.8,557.1
BUD7278,CUST1022,PRJ2038,2026-08-01,23955.29,18786.85,648.0,563.6
BUD7279,CUST1022,PRJ2038,2026-09-01,29728.94,22303.58,707.0,555.7
BUD7280,CUST1022,PRJ2038,2026-10-01,29889.61,32181.88,588.5,717.0
BUD7281,CUST1022,PRJ2038,2026-11-01,26841.69,33540.46,646.4,740.1
BUD7282,CUST1009,PRJ2039,2026-07-01,47758.3,56461.24,858.4,1016.7
BUD7283,CUST1009,PRJ2039,2026-08-01,54607.17,43409.47,860.9,814.5
BUD7284,CUST1009,PRJ2039,2026-09-01,44830.41,39065.7,786.5,907.3
BUD7285,CUST1009,PRJ2039,2026-10-01,51041.94,41089.45,778.1,988.9
BUD7286,CUST1009,PRJ2039,2026-11-01,42350.33,32995.73,737.5,863.9
BUD7287,CUST1009,PRJ2039,2026-12-01,41322.88,37882.07,958.0,1159.6
BUD7288,CUST1009,PRJ2039,2027-01-01,40899.36,28979.58,728.9,936.3
BUD7289,CUST1009,PRJ2039,2027-02-01,54347.02,52001.64,913.3,1163.4
BUD7290,CUST1009,PRJ2039,2027-03-01,49204.25,57480.34,953.6,899.9
BUD7291,CUST1009,PRJ2039,2027-04-01,52121.46,39445.22,919.7,667.5
BUD7292,CUST1009,PRJ2039,2027-05-01,49871.86,43611.59,750.7,794.7
BUD7293,CUST1017,PRJ2040,2025-09-01,59003.53,70825.69,457.0,366.9
BUD7294,CUST1017,PRJ2040,2025-10-01,62283.69,46594.75,590.8,756.4
BUD7295,CUST1017,PRJ2040,2025-11-01,57041.34,41425.46,470.9,464.3
BUD7296,CUST1017,PRJ2040,2025-12-01,61474.4,73921.18,488.6,352.2
BUD7297,CUST1017,PRJ2040,2026-01-01,63948.87,60970.97,496.1,641.2
BUD7298,CUST1017,PRJ2040,2026-02-01,50797.76,40920.3,481.3,552.1
BUD7299,CUST1017,PRJ2040,2026-03-01,60510.07,55443.22,550.1,658.2
BUD7300,CUST1017,PRJ2040,2026-04-01,56131.63,72543.49,581.6,532.2
BUD7301,CUST1017,PRJ2040,2026-05-01,52159.73,65928.65,614.6,786.2
BUD7302,CUST1017,PRJ2040,2026-06-01,61471.29,73551.32,503.6,547.6
BUD7303,CUST1017,PRJ2040,2026-07-01,62965.21,50836.98,472.0,525.3
BUD7304,CUST1017,PRJ2040,2026-08-01,54402.63,61416.21,464.7,515.7
BUD7305,CUST1036,PRJ2041,2023-04-01,79808.87,65246.69,1138.4,906.4
BUD7306,CUST1036,PRJ2041,2023-05-01,71468.47,88216.99,977.5,868.9
BUD7307,CUST1036,PRJ2041,2023-06-01,81468.81,95128.45,1130.7,808.1
BUD7308,CUST1044,PRJ2042,2025-11-01,81311.34,57962.5,533.1,655.9
BUD7309,CUST1044,PRJ2042,2025-12-01,63761.72,51998.87,616.5,521.6
BUD7310,CUST1044,PRJ2042,2026-01-01,65967.1,83204.34,500.4,642.8
BUD7311,CUST1044,PRJ2042,2026-02-01,81346.34,87266.28,515.1,492.0
BUD7312,CUST1044,PRJ2042,2026-03-01,75864.83,61106.37,627.5,724.6
BUD7313,CUST1044,PRJ2042,2026-04-01,69645.92,78622.54,586.5,745.5
BUD7314,CUST1032,PRJ2043,2024-06-01,64824.27,62275.94,1176.0,900.1
